isbn;title;pages;category;author;publisher
0312287682;Girlfriend 44;384;Fiction;mark barrowcliffe;"St. Martin'S Griffin"
1551669250;West Of Bliss;384;Fiction;suzann ledbetter;Mira
0345316002;Killashandra;384;Fiction;anne mccaffrey;Del Rey Books
0425115291;Silver Tower;384;Fiction;dale brown;Berkley Publishing Group
0440184053;"Summer'S End";384;Fiction;danielle steel;Dell
0446363499;A Coral Kiss;384;Fiction;jayne ann krentz;Warner Books
0060989238;Hunger Point;384;Fiction;jillian medoff;Regan Books
0812566785;Rainbow Mars;384;Fiction;larry niven;Tor Science Fiction
0380802325;Suddenly You;384;Fiction;lisa kleypas;Avon
006109398X;Treasure Box;384;Fiction;orson scott card;Harpertorch
0380728168;Final Victim;384;Fiction;stephen j. cannell;Avon
0786868058;Cold Pursuit;384;Fiction;t. jefferson parker;Hyperion
0061092614;Finding Moon;384;Fiction;tony hillerman;Harpertorch
0552999458;Dead Famous;384;Fiction;ben elton;Black Swan Books, Limited
0380789876;Jade Island;384;Fiction;elizabeth lowell;Avon
0380775840;Amber Beach;384;Fiction;elizabeth lowell;Avon
044914982X;Serendipity;384;Fiction;fern michaels;Ivy Books
0425168298;Secret Prey;384;Fiction;john sandford;Berkley Publishing Group
0373484887;Hidden Star;384;Fiction;nora roberts;Silhouette
0812574737;The Dastard;384;Fiction;piers anthony;Tor Fantasy
0812590236;Irish Mist;384;Fiction;andrew m. greeley;Forge
0671527886;Possession;384;Fiction;ann rule;Pocket
0380817837;Maybe Baby;384;Fiction;elaine fox;Avon
067101420X;Forever...;384;Fiction;jude deveraux;Pocket
0743243307;Brick Lane;384;Fiction;monica ali;Scribner
0440212812;Lost Souls;384;Fiction;poppy z. brite;Dell
0345428307;Trust Fund;384;Fiction;stephen frey;Fawcett
0061092177;Small Gods;384;Fiction;terry pratchett;Harpertorch
051512088X;Rosehaven;384;Fiction;catherine coulter;Jove Books
0446611948;Long Lost;384;Fiction;david morrell;Warner Books
0553574671;Prime Cut;384;Fiction;diane mott davidson;Bantam Books
1551667495;Skeletons;384;Fiction;kate wilhelm;Mira
0440226023;Road Rage;384;Fiction;ruth rendell;Dell Publishing Company
0345356748;The Lady;384;Fiction;anne mccaffrey;Ballantine Books
0812566629;Darwinia;384;Fiction;robert charles wilson;Tor Books
0440222028;Simisola;384;Fiction;ruth rendell;Dell
0671534718;Melody;384;Fiction;v.c. andrews;Pocket
0786016124;Risen;384;Fiction;j. knight;Pinnacle Books
155166898X;Wade;384;Fiction;jennifer blake;Mira
0762102411;"Reader'S Digest How To Do Just About Anything On A Computer";383;Computers;"reader's digest";"Reader'S Digest Association"
1565921232;Networking Personal Computers With Tcp/Ip;383;Computers;craig hunt;"O'Reilly"
1565922093;Electronic Publishing On Cd-Rom;383;Computers;steve cunningham;"O'Reilly"
1565922093;Electronic Publishing On Cd-Rom;383;Computers;judson rosebush;"O'Reilly"
0312863551;The Moon Is A Harsh Mistress;383;Fiction;robert a. heinlein;Orb Books
0786006242;Privileged Information;383;Boulder (Colo);stephen white;Pinnacle Books
0553271644;Doom Of The Darksword;383;Fiction;margaret weis;Bantam
0440114756;Comes The Blind Fury;383;Fiction;john saul;Dell
0425192733;Portrait Of A Killer;383;True Crime;patricia daniels cornwell;Berkley Publishing Group
2290308285;La Stratégie Ender;383;Child Soldiers;orson scott card;"J'Ai Lu"
052594642X;The Impressionist;383;Fiction;hari kunzru;Dutton Adult
0671520458;First Frontier;383;Fiction;diane carey;Star Trek
0671520458;First Frontier;383;Fiction;james i. kirkland;Star Trek
0451405498;"Anna'S Book";383;Fiction;barbara vine;Onyx Books
0425182878;Chosen Prey;383;Fiction;john sandford;Berkley Publishing Group
0312953038;Bold Angel;383;Fiction;kat martin;"St. Martin'S Press"
0151962960;Where Is Joe Merchant?;382;Autobiography;jimmy buffett;Harcourt
0151962960;Where Is Joe Merchant?;382;Biography;jimmy buffett;Harcourt
052148443X;"Plato: 'The Republic'";382;Philosophy;plato;Cambridge University Press
052148443X;"Plato: 'The Republic'";382;Philosophy;tom griffith;Cambridge University Press
0137486251;Reality Architecture;382;Computers;alistair carty;Prentice Hall Ptr
0137486251;Reality Architecture;382;Computers;alligator descartes;Prentice Hall Ptr
0821772120;Every Waking Moment;382;Fiction;meryl sawyer;Zebra Books
0140296131;A Star Called Henry;382;Adventure Stories;roddy doyle;Penguin Books
2253905879;Ecrits Politiques;382;Philosophy;victor hugo;Lgf
0670031046;In This Mountain;382;Fiction;jan karon;Viking Books
1552125947;Name This Font;382;Computers;thomas v. skrivan;Graphicpage
0451199650;Stealing Time;382;Fiction;leslie glass;Signet Book
0451406176;The Duke;382;Great Britain;catherine coulter;Topaz
0451403703;"The Hangman'S Beautiful Daughter";381;Fiction;sharyn mccrumb;Onyx Books
0373483694;The Macgregor Grooms;381;Families;nora roberts;Silhouette
082177462X;Kentucky Sunrise;381;Fiction;fern michaels;Zebra Books (Mass Market)
0553575015;"Nobody'S Darling";381;Fiction;teresa medeiros;Bantam
2253153982;L Ultime Secret;381;Fiction;bernard werber;Lgf
0821761730;"Annie'S Rainbow";381;Fiction;fern michaels;Zebra Books
0786014474;Motion To Kill;381;Fiction;joel goldman;Pinnacle Books
0842332286;The Mark;381;Fiction;tim f. lahaye;Tyndale House Publishers
0842332286;The Mark;381;Fiction;jerry b. jenkins;Tyndale House Publishers
1575213931;Teach Yourself The Internet In 24 Hours;380;Computers;ned snell;Macmillan Computer Pub
0451166582;The Eyes Of The Dragon;380;Fiction;stephen king;Signet Book
091354695X;Knowledge Of Freedom;380;Philosophy;tarthang tulku;Dharma Publishing
0782125891;Imac! (And Ibook);380;Computers;bob levitus;Sybex Inc
0679312064;Dropped Threads 2;380;Autobiography;catherine shields;Vintage Books Canada
0679312064;Dropped Threads 2;380;Biography;catherine shields;Vintage Books Canada
0451206444;My Lady Notorious;380;Fiction;jo beverley;Signet Book
3442545528;In Meinem Himmel;380;American Fiction;alice sebold;Goldmann
0671698842;Death Of Sleep;380;Fiction;mccaffrey;Baen
067103619X;Lake News;380;Fiction;barbara delinsky;Pocket
0451188616;The Heir;380;England;catherine coulter;Signet Book
1551667150;The Widows Of Wichita County;379;Fiction;jodi thomas;Mira
0880381752;Dragons Of Spring Dawning;379;Dragons;margaret weis;Tsr
0880381752;Dragons Of Spring Dawning;379;Dragons;tracy hickman;Tsr
155166285X;If Looks Could Kill;379;Fiction;heather graham pozzessere;Mira
0743202988;Heart Full Of Lies;379;True Crime;ann rule;Free Press
0330484915;Dancing With Mules;379;Americans;morag prunty;Pan Books
0451627296;Women And Fiction;379;Fiction;susan cahill;Signet Book
1551667975;South Of Sanity;379;Fiction;suzann ledbetter;Mira
1551665026;Promise, Texas;379;Fiction;debbie macomber;Mira
0373835760;Men Of Courage;379;Fiction;lori foster;Harlequin
0373835760;Men Of Courage;379;Fiction;jill shalvis;Harlequin
0684841185;Death Du Jour;379;Fiction;kathy reichs;Scribner
0515092266;The New Breed;379;Fiction;w. e. b. griffin;Jove Books
0552999954;High Society;379;Fiction;ben elton;Black Swan Books, Limited
1551668858;July Thunder;379;Fiction;rachel lee;Mira
1551665395;Paper Rose;379;Fiction;diana palmer;Mira
1551668459;The Cabin;379;Fiction;carla neggers;Mira
1551666308;Roan;379;Fiction;jennifer blake;Mira
0812566637;Legends-Vol. 1 Stories By The Masters Of Modern Fantasy;378;Fiction;robert silverberg;Tor Books
1562055089;Actually Useful Internet Security Techniques;378;Computers;larry j. hughes;Macmillan Computer Pub
0156027135;The Distant Land Of My Father;378;Fiction;bo caldwell;Harvest Books
1551662604;This Matter Of Marriage;378;Fiction;debbie macomber;Mira
1551668149;The Seduction Of Ellen;378;Fiction;nan ryan;Mira
044018293X;Suffer The Children;378;Fiction;john saul;Dell
1551664933;Plucking The Apple;378;Fiction;elizabeth palmer;Mira
0515109746;The Hellion Bride;378;Fiction;catherine coulter;Jove Books
0373835124;Darling Daughters;378;Fiction;debbie macomber;Harlequin
1551662817;Garden Of Scandal;378;Louisiana;jennifer blake;Mira
1551665336;Moon Over Water;378;Fiction;debbie macomber;Mira
0764506927;Xml For Dummies;378;Computers;ed tittel;John Wiley  Sons
1551665824;The Waterfall;378;Fiction;carla neggers;Mira
0515084557;The Generals;378;Fiction;w. e. b. griffin;Jove Books
0451458443;Grave Peril;378;Fiction;jim butcher;Roc
0451459407;Death Masks;378;Fiction;jim butcher;Roc
0451405919;Lord Harry;378;Disguise;catherine coulter;Topaz
0201604809;E-Business;378;Computers;marcia robinson;Addison-Wesley
0316780812;Sea Glass;378;Fiction;anita shreve;Little, Brown
0451407946;The Offer;378;Fiction;catherine coulter;Signet Historical Romance
1551666863;His Touch;378;Fiction;mary lynn baxter;Mira Books
0515118656;The Cove;378;Fiction;catherine coulter;Jove Books
0373483791;Love With A Long, Tall Texan;377;Fiction;diana palmer;Harlequin
0373834179;The Brides Of Christmas;377;Fiction;jo beverley;Harlequin
0373834365;The Last Two Bachelors;377;Fiction;debbie macomber;Harlequin
1551668769;With A Southern Touch;377;Fiction;jennifer blake;Mira
1551668769;With A Southern Touch;377;Fiction;heather graham;Mira
1551668769;With A Southern Touch;377;Fiction;diana palmer;Mira
0373834349;Mail-Order Marriages;377;Fiction;debbie macomber;Harlequin
0553575406;Murder On The Prowl;377;Fiction;rita mae brown;Bantam
1551669234;Stonebrook Cottage;377;Fiction;carla neggers;Mira
1551668300;16 Lighthouse Road;377;Fiction;debbie macomber;Mira
1551666170;Lord Of The Desert;377;Fiction;diana palmer;Mira
1551664194;Southern Gentlemen;377;Fiction;jennifer blake;Mira
1551665239;One Summer Evening;377;Fiction;mary lynn baxter;Mira
088038722X;Darkness And Light;377;American;paul b. thompson;Wizards Of The Coast
088038722X;Darkness And Light;377;Fantasy Fiction;paul b. thompson;Wizards Of The Coast
088038722X;Darkness And Light;377;American;tonya r. carter;Wizards Of The Coast
088038722X;Darkness And Light;377;Fantasy Fiction;tonya r. carter;Wizards Of The Coast
0451411013;The Grave Maurice;377;Fiction;martha grimes;Onyx Books
0373218338;Charmed Destinies;377;Fiction;mercedes lackey;Silhouette
0373218338;Charmed Destinies;377;Fiction;rachel lee;Silhouette
0373218338;Charmed Destinies;377;Fiction;catherine asaro;Silhouette
1551668432;The Texas Ranger;377;Fiction;diana palmer;Mira
0778320286;Changing Habits;377;Fiction;debbie macomber;Mira
1551666758;The Perfect Lie;377;Fiction;dinah mccall;Mira
0671731661;"Daniel'S Bride";377;Fiction;linda lael miller;Pocket
1575662728;Irish Magic Ii;377;Fiction;morgan llywelyn;Kensington Publishing Corporation
1575662728;Irish Magic Ii;377;Fiction;barbara samuel;Kensington Publishing Corporation
0373285043;With Open Arms;377;Fiction;nora roberts;Silhouette
1551664852;Kiss The Moon;377;Fiction;carla neggers;Mira
1551664704;Once In Paris;377;Fiction;diana palmer;Mira
1551669374;Sisters Found;377;Fiction;joan johnston;Mira
0399137734;Dragon Tears;377;Fiction;dean ray koontz;Putnam Pub Group
0778320510;Without You;377;Fiction;mary lynn baxter;Mira
1551666588;With Malice;377;Fiction;rachel lee;Mira Books
0373834357;Family Men;377;Fiction;debbie macomber;Harlequin
0140180923;Lord Jim;377;Fiction;cedric thomas watts;Penguin Books
0373483317;Jingle Bells, Wedding Bells;376;Fiction;nora roberts;Silhouette
0373483317;Jingle Bells, Wedding Bells;376;Fiction;myrna temte;Silhouette
0373483317;Jingle Bells, Wedding Bells;376;Fiction;barbara boswell;Silhouette
0373483317;Jingle Bells, Wedding Bells;376;Fiction;elizabeth august;Silhouette
037348352X;Three Brides, No Groom;376;Fiction;debbie macomber;Silhouette
1551668122;Night Of The Blackbird;376;Fiction;heather graham;Mira
044022392X;The Keys To The Street;376;Fiction;ruth rendell;Dell
067103264X;Storm Of The Century;376;Fiction;stephen king;Pocket
0345452577;The Conspiracy Club;376;Fiction;jonathan kellerman;Ballantine Books
0385508042;The King Of Torts;376;Fiction;john grisham;Doubleday Books
1551668467;The Deepest Water;376;Fiction;kate wilhelm;Mira
1551665549;Snow In September;376;Fiction;rachel lee;Mira
0764504193;Unix For Dummies;376;Computers;john r. levine;For Dummies
1551666766;Naughty Marietta;376;Fiction;nan ryan;Mira Books
0515133868;Once Upon A Kiss;376;Fiction;nora roberts;Jove Books
0778320049;Something Deadly;376;Fiction;rachel lee;Mira Books
0778320383;"Night'S Landing";376;Fiction;carla neggers;Mira
0515120448;The Wild Baron;376;Fiction;catherine coulter;Jove Books
1551668947;White Mountain;376;Fiction;dinah mccall;Mira
034530358X;Tender Warrior;376;Fiction;fern michaels;Ivy Books
0778320065;Grave Concerns;376;Fiction;gwen hunter;Mira Books
0385721676;Oryx And Crake;376;Fiction;margaret atwood;Anchor
0440236401;The Temptress;376;Fiction;claire delacroix;Dell Publishing Company
0778320294;Mimosa Grove;376;Fiction;dinah mccall;Mira
0451410602;"Death'S Door";376;Fiction;michael slade;Onyx Books
1551666022;Dakota Home;376;Fiction;debbie macomber;Mira
0743418174;Good In Bed;376;Fiction;jennifer weiner;Washington Square Press
0345343581;Kate Vaiden;376;Fiction;reynolds price;Ballantine Books
1551666847;Cold Ridge;376;Fiction;carla neggers;Mira
1551664968;Confession;376;Fiction;elizabeth gage;Mira
0440204208;Blood Shot;376;Fiction;sara paretsky;Dell
0451200152;The Town;376;Fiction;bentley little;Signet Book
051511801X;Devotion;376;Fiction;katherine sutcliffe;Jove Books
0440209862;The Vig;376;Fiction;john lescroart;Dell Publishing Company
155166819X;Clay;376;Fiction;jennifer blake;Mira
0735714118;The Photoshop Cs Book For Digital Photographers;375;Computers;scott kelby;Pearson Education
0618131736;The Best American Short Stories 2002;375;Fiction;sue miller;Houghton Mifflin Company
0735710236;Flash 5 Magic With Actionscript;375;Computers;david j. emberton;Pearson Education
0440234808;Beyond The Highland Mist;375;Fiction;karen marie moning;Dell
0553279025;The Paladin Of The Night;375;Fiction;margaret weis;Bantam
0425181200;"Dale Brown'S Dreamland";375;Fiction;dale brown;Berkley Publishing Group
0140131566;We Are Still Married;375;Fiction;garrison keillor;Penguin Books
0671025325;Triangle :Imzadi Ii.;375;Fiction;peter david;Star Trek
0886773741;"Tailchaser'S Song";375;Cats;tad williams;Daw Books
0849942918;When Heaven Weeps;375;Fiction;ted dekker;Westbow Press
0688156126;"Jupiter'S Bones";375;Fiction;faye kellerman;Harpercollins
0079126405;Hands-On Tcp/Ip;375;Computers;paul simoneau;Mcgraw-Hill Osborne Media
0345365933;Texas Sunrise;375;Fiction;fern michaels;Fawcett
0671727583;Smart Women;375;Fiction;judy blume;Pocket Books
0380711044;Spartina;375;Fiction;john casey;Harpercollins
0451459067;Dhampir;375;Fiction;j. c. hendee;Roc
0072226013;Junkbots, Bugbots, And Bots On Wheels: Building Simple Robots With Beam Technology;374;Computers;david hrynkiw;Mcgraw-Hill Osborne Media
0553258915;The Two Mrs. Grenvilles;374;Fiction;dominick dunne;Bantam Books
0451202546;"The Devil'S Heiress";374;Fiction;jo beverley;Signet Book
0451203585;"The Dragon'S Bride";374;Fiction;jo beverley;Signet Book
0451202902;Sweet Everlasting;374;Fiction;patricia gaffney;Signet Book
0671521500;Everlasting Love;374;Fiction;jayne ann krentz;Pocket
0671521500;Everlasting Love;374;Fiction;linda lael miller;Pocket
0671521500;Everlasting Love;374;Fiction;carla neggers;Pocket
0449222276;Belgrave Square;374;Fiction;anne perry;Fawcett Books
0451198948;"Warrior'S Song";374;Fiction;catherine coulter;Signet Book
0380800209;Her Man Friday;374;Fiction;elizabeth bevarly;Avon
0345310799;Stallion Gate;374;Fiction;martin cruz smith;Ballantine Books
0451206754;Must Be Magic;374;Fiction;patricia rice;Signet Book
0843950498;Dark Melody;374;Fiction;christine feehan;Leisure Books
0425137562;Silent Prey;374;Fiction;john sandford;Berkley Publishing Group
0451208072;St. Raven;374;Fiction;jo beverley;Signet Book
0440210178;Trial;374;Fiction;clifford irving;Dell
0375759182;The Basic Writings Of John Stuart Mill;373;Philosophy;john stuart mill;Modern Library
0385729340;The Second Summer Of The Sisterhood;373;Juvenile Fiction;ann brashares;Delacorte Books For Young Readers
0679737413;At Play In The Fields Of The Lord;373;Fiction;peter matthiessen;Vintage
0345317580;Magic Kingdom For Sale--Sold!;373;Fiction;terry brooks;Del Rey Books
0743442660;My Big Old Texas Heartache;373;Fiction;geralyn dawson;Pocket Star
0393313964;Girl With Curious Hair;373;Fiction;david foster wallace;W. W. Norton  Company
0804118558;A Breach Of Promise;373;Fiction;anne perry;Ivy Books
0553578685;The Third Victim;373;Fiction;lisa gardner;Bantam
0399149783;Monkeewrench;373;Fiction;p. j. tracy;Putnam Publishing Group
0451201744;The Walking;373;Fiction;bentley little;Signet Book
0441005764;Mossflower;373;Juvenile Fiction;brian jacques;Ace Books
0505525534;Love Bites;373;Fiction;lynsay sands;Love Spell
0767905172;Jemima J.;373;Fiction;jane green;Broadway Books
0767905180;Jemima J;373;Fiction;jane green;Broadway Books
189441327X;The Internet For Canadians For Dummies Starter Kit;372;Computers;john r. levine;John Wiley  Sons
189441327X;The Internet For Canadians For Dummies Starter Kit;372;Computers;carol baroudi;John Wiley  Sons
0345313151;Bearing An Hourglass : [Novel];372;Fiction;piers anthony;Del Rey Books
0345387554;The Horse You Came In On;372;Fiction;martha grimes;Ballantine Books
0679734058;Killing Mister Watson;372;Fiction;peter matthiessen;Vintage Books Usa
034544356X;Seduced By Moonlight;372;Fiction;laurell k. hamilton;Ballantine Books
0505525836;Tall, Dark & Hungry;372;Fiction;lynsay sands;Love Spell
0425160394;Vengeance In Death;372;Fiction;j. d. robb;Berkley Publishing Group
0425160394;Vengeance In Death;372;Fiction;nora roberts;Berkley Publishing Group
0425174808;Divide And Conquer;372;Fiction;tom clancy;Berkley Publishing Group
0451177096;Dolores Claiborne;372;Fiction;stephen king;Signet Book
0960603093;The Right To Die;372;Philosophy;derek humphry;Carol Publishing Corporation
0385337116;The Rule Of Four;372;Fiction;ian caldwell;Dial Books
0142000329;"After You'D Gone";372;Fiction;"maggie o'farrell";Penguin Books
0345373529;The Ruby Knight;372;Fiction;david eddings;Del Rey Books
0446612545;The Beach House;372;Fiction;james patterson;Warner Books
0446612545;The Beach House;372;Fiction;peter de jonge;Warner Books
0515129240;Harmful Intent;372;Fiction;baine kerr;Jove Books
0804102511;Intensive Care;372;Autobiography;echo heron;Ivy Books
0804102511;Intensive Care;372;Biography;echo heron;Ivy Books
0425187721;Nerve Center;372;Fiction;dale brown;Berkley Publishing Group
0451409485;First Avenue;372;Fiction;lowen clausen;Onyx Books
0399147357;Dead Sleep;372;Fiction;greg iles;"G. P. Putnam'S Sons"
0451199979;Devilish;372;Fiction;jo beverley;Signet Book
0553561537;Desire;372;Fiction;amanda quick;Bantam
0764505890;Linux Administration For Dummies;371;Computers;michael bellomo;For Dummies
1555611435;Your Pregnancy Week By Week;371;Fitness;glade b. curtis;Perseus Books Group
1555611435;Your Pregnancy Week By Week;371;Health;glade b. curtis;Perseus Books Group
1576103986;Mcsd/Mcp+Sb Frontpage 98;371;Computers;ed tittel;Coriolis Group Books
1576103986;Mcsd/Mcp+Sb Frontpage 98;371;Computers;james michael stewart;Coriolis Group Books
0380974991;Rattlesnake Crossing H;371;Fiction;j. a. jance;William Morrow
0743411250;The Woman Next Door;371;Fiction;barbara delinsky;Pocket
0671872001;Disappearing Acts;371;Fiction;terry mcmillan;Pocket
0425183971;Reunion In Death;371;Fiction;j. d. robb;Berkley Publishing Group
0449907481;A Thousand Acres;371;Fiction;jane smiley;Ballantine Books
0451458923;Summer Knight;371;Fiction;jim butcher;Roc
0515116750;Born In Ice;371;Fiction;nora roberts;Berkley Publishing Group
0515136824;Wild Rain;371;Fiction;christine feehan;Jove Books
0679450432;Dark Lady;371;Fiction;richard north patterson;Alfred A. Knopf
0449207552;Break In;371;Fiction;dick francis;Fawcett Books
1573222089;"Satellite Sisters' Uncommon Senses";370;Relationships;julie dolan;Riverhead Books
1573222089;"Satellite Sisters' Uncommon Senses";370;Family;julie dolan;Riverhead Books
0440201330;The Five Bells And Bladebone;370;Fiction;martha grimes;Dell Publishing Company
0385234139;The Wheel Of Life And Death;370;Philosophy;philip kapleau;Anchor
0345323211;"Tough Guys Don'T Dance";370;Fiction;norman mailer;Ballantine Books
074320607X;Nighttime Is My Time;370;Fiction;mary higgins clark;Simon  Schuster
0812522397;Children Of The Mind;370;Fiction;orson scott card;Tor Books
0679401385;The Fallen Colossus;370;Fiction;robert sobel;Random House Trade
0679401385;The Fallen Colossus;370;Fiction;peter straub;Random House Trade
0515103292;When Rabbit Howls;370;Autobiography;truddi chase;Jove Books
0515103292;When Rabbit Howls;370;Biography;truddi chase;Jove Books
0380804700;Partner In Crime;370;Fiction;j. a. jance;Avon
0671786458;Paradise County;370;Fiction;karen robards;Atria
055358619X;The Bride Hunt;370;Fiction;jane feather;Bantam
0671876015;"Pigs Don'T Fly";370;Fiction;mary brown;Baen
0525947914;Just One Look;370;Fiction;harlan coben;Dutton Books
0515134465;Bloody Bones;370;Fiction;laurell k. hamilton;Jove Books
0449006883;Magic Terror;370;Fiction;peter straub;Fawcett Books
0385336314;Dating Game;370;Fiction;danielle steel;Delacorte Press
0440236843;Texas Woman;370;Fiction;joan johnston;Dell
0399150560;Blindside;370;Fiction;catherine coulter;"G. P. Putnam'S Sons"
0312959974;Watch Me;370;Fiction;a. j. holt;"St. Martin'S Press"
0399146008;Shock;370;Fiction;robin cook;"G. P. Putnam'S Sons"
1558747613;Chicken Soup For The Teenage Soul Iii;369;Juvenile Nonfiction;kimberly kirberger;Hci Teens
0385314698;The Sixteen Pleasures;369;Fiction;robert hellenga;Delta
055357924X;Kissed A Sad Goodbye;369;Fiction;deborah crombie;Bantam Books
0505525526;Single White Vampire;369;Fiction;lynsay sands;Love Spell
0505525097;"Aphrodite'S Secret";369;Fiction;julie kenner;Love Spell
051513452X;The Lunatic Cafe;369;Fiction;laurell k. hamilton;Jove Books
0515128554;Heart Of The Sea;369;Fiction;nora roberts;Jove Books
0380728273;Liberty Falling;369;Fiction;nevada barr;Avon
0440226104;Black And Blue;369;Fiction;anna quindlen;Dell
042516098X;"Hornet'S Nest";369;Fiction;patricia daniels cornwell;Berkley Publishing Group
0451458346;Resurrection;369;Fiction;arwen elys dayton;New American Library
0345432401;Omerta;369;Fiction;mario puzo;Ballantine Books
3518278746;Die Macht Der Computer Und Die Ohnmacht Der Vernunft;368;Computer Programming;joseph weizenbaum;Suhrkamp
1557482640;365 Read-Aloud Bedtime Bible Stories;368;Juvenile Nonfiction;jesse lyman hurlbut;Barbour Publishing
1558605037;Web Farming For The Data Warehouse;368;Computers;richard d. hackathorn;Morgan Kaufmann
0596000804;Beginning Perl For Bioinformatics;368;Computers;james tisdall;"O'Reilly"
0345442741;Welcome To The Great Mysterious;368;Fiction;lorna landvik;Ballantine Books
0449219380;Murder At The National Gallery;368;Fiction;margaret truman;Fawcett Books
0670869902;How Stella Got Her Groove Back;368;Fiction;terry mcmillan;Viking Books
0385479484;The Short History Of A Prince;368;Fiction;jane hamilton;Anchor Books/Doubleday
0449206610;The Brotherhood Of The Rose;368;Fiction;david morrell;Fawcett Books
006053429X;"Couldn'T Keep It To Myself";368;Disciplines;robin cullen;Regan Books
006053429X;"Couldn'T Keep It To Myself";368;Language Arts;robin cullen;Regan Books
006053429X;"Couldn'T Keep It To Myself";368;Disciplines;diane bartholomew;Regan Books
006053429X;"Couldn'T Keep It To Myself";368;Language Arts;diane bartholomew;Regan Books
006053429X;"Couldn'T Keep It To Myself";368;Disciplines;dale griffith;Regan Books
006053429X;"Couldn'T Keep It To Myself";368;Language Arts;dale griffith;Regan Books
0380759489;Xanth 14: Question Quest;368;Fiction;piers anthony;Eos
0609609521;When The Elephants Dance;368;Fiction;tess uriza holthe;Crown
0380722607;Contents Under Pressure;368;Fiction;edna buchanan;Avon
0449001946;Murder At The Watergate;368;Fiction;margaret truman;Fawcett Books
078686219X;Living The Simple Life;368;Fitness;elaine st. james;Hyperion Books
078686219X;Living The Simple Life;368;Health;elaine st. james;Hyperion Books
0425168220;"Tom Clancy'S Op-Center";368;Assassins;tom clancy;Berkley Publishing Group
044661176X;Once Upon A Blind Date;368;Fiction;wendy markham;Warner Forever
0060973617;Up The Down Staircase;368;Fiction;bel kaufman;Perennial
0061032034;One More For The Road;368;Fiction;ray bradbury;Avon
0316926345;Brideshead Revisited;368;Fiction;evelyn waugh;Back Bay Books
0471237124;The Art Of Deception;368;Computers;kevin d. mitnick;Wiley
0471237124;The Art Of Deception;368;Computers;william l. simon;Wiley
0345423429;A Caress Of Twilight;368;Fiction;laurell k. hamilton;Fawcett
0312966571;Scandalous Weddings;368;Fiction;brenda joyce;"St. Martin'S Paperbacks"
038078145X;Stranger In My Arms;368;Fiction;lisa kleypas;Avon
0385315287;Running From Safety;368;Autobiography;richard bach;Delta
0385315287;Running From Safety;368;Biography;richard bach;Delta
0061094048;Imperfect Strangers;368;Fiction;stuart woods;Harpertorch
0061000280;The Fly On The Wall;368;Fiction;tony hillerman;Harpertorch
0380767600;Lover In The Rough;368;Fiction;elizabeth lowell;Avon
0399141200;That Camden Summer;368;Fiction;lavyrle spencer;Putnam Pub Group
0380797399;Faded Coat Of Blue;368;Fiction;owen parry;Avon
0515126772;Jewels Of The Sun;368;Fiction;nora roberts;Jove Books
044922502X;North Of Montana;368;Fiction;april smith;Fawcett Books
0061010995;Moment To Moment;368;Fiction;barbara delinsky;Harpertorch
0061010995;Moment To Moment;368;Fiction;(none);Harpertorch
0380897393;When Love Awaits;368;Fiction;johanna lindsey;Avon
080411336X;New Orleans Beat;368;Fiction;julie smith;Ivy Books
055357325X;The Seventh Gate;368;Fiction;margaret weis;Bantam
0670888702;The Lamorna Wink;368;Fiction;martha grimes;Viking Books
0440111323;A Catskill Eagle;368;Fiction;robert b. parker;Dell Publishing Company
0515114049;Fall From Grace;368;Fiction;andrew m. greeley;Jove Books
0312977689;Deadly Pleasure;368;Fiction;brenda joyce;"St. Martin'S Press"
0345433785;"Newton'S Cannon";368;Fiction;j. gregory keyes;Del Rey Books
0380750848;A Heart So Wild;368;Fiction;johanna lindsey;Avon
067173783X;"The Lion'S Lady";368;Fiction;julie garwood;Pocket
0786889837;Buried Evidence;368;Fiction;nancy taylor rosenberg;Hyperion
0515136263;Chesapeake Blue;368;Fiction;nora roberts;Jove Books
0345435257;Angel Fire East;368;Fiction;terry brooks;Del Rey Books
034544325X;The Day Trader;368;Fiction;stephen frey;Ballantine Books
0061090891;Santa Fe Rules;368;Fiction;stuart woods;Harpertorch
0060977035;Still Missing;368;Fiction;beth gutcheon;Perennial
0201709147;Essential Xml;368;Computers;aaron skonnard;Addison-Wesley Pub Co
0451410580;Jake And Mimi;368;Fiction;frank baldwin;Onyx Books
0380899825;Hearts Aflame;368;Fiction;johanna lindsey;Avon
038081563X;Silver Scream;368;Fiction;mary daheim;Avon
0425174271;Certain Prey;368;Fiction;john sandford;Berkley Publishing Group
0553587188;"Lucky'S Lady";368;Fiction;tami hoag;Bantam
0842329153;Soul Harvest;368;Rapture (Christian Eschatology);tim f. lahaye;Tyndale House Publishers
0553579274;A Finer End;368;Fiction;deborah crombie;Bantam
0671524097;Sharp Edges;368;Fiction;jayne ann krentz;Pocket Star
0060198125;Coastliners;368;Fiction;joanne harris;William Morrow
0060084405;Bread Alone;368;Fiction;judith r. hendricks;Perennial
0671737554;Yankee Wife;368;Fiction;linda lael miller;Pocket
006109918X;Talking God;368;Fiction;tony hillerman;Harpertorch
0743225082;Man And Boy;368;Fiction;tony parsons;Touchstone
0812583418;Angel Fire;368;Fiction;andrew m. greeley;Tor Books
0451206878;The Return;368;Fiction;bentley little;Signet Book
0061091502;Real Magic;368;Body;wayne w. dyer;Harpertorch
